P (mbar)	T (K)	logP(mbar)	T (experiment)	P(experiment)																											
mbar	K		K	mbar																											
1.77010895831742	1.31871931550924	0.248			1.31871931550924																										
1.77418948089017	1.3190874625882	0.249			1.3190874625882																										
1.77827941003892	1.3194559765625	0.25			1.3194559765625																										
1.78237876744809	1.31982485649522	0.251			1.31982485649522																										
1.78648757485205	1.32019410145294	0.252			1.32019410145294																										
1.79060585403529	1.32056371050575	0.253			1.32056371050575																										
1.79473362683253	1.32093368272723	0.254			1.32093368272723																										
1.79887091512879	1.32130401719447	0.255			1.32130401719447																										
1.80301774085957	1.32167471298806	0.256			1.32167471298806																										
1.80717412601093	1.32204576919206	0.257			1.32204576919206																										
1.8113400926196	1.32241718489401	0.258			1.32241718489401																										
1.81551566277314	1.32278895918494	0.259			1.32278895918494																										
1.81970085860998	1.32316109115934	0.26			1.32316109115934																										
1.82389570231964	1.32353357991517	0.261			1.32353357991517																										
1.82810021614274	1.32390642455384	0.262			1.32390642455384																										
1.83231442237121	1.32427962418023	0.263			1.32427962418023																										
1.83653834334835	1.32465317790266	0.264			1.32465317790266																										
1.84077200146896	1.32502708483289	0.265			1.32502708483289																										
1.84501541917947	1.32540134408612	0.266			1.32540134408612																										
1.84926861897808	1.325775954781	0.267			1.325775954781																										
1.85353162341481	1.32615091603959	0.268			1.32615091603959																										
1.8578044550917	1.32652622698737	0.269			1.32652622698737																										
1.86208713666287	1.32690188675324	0.27			1.32690188675324																										
1.86637969083467	1.32727789446953	0.271			1.32727789446953																										
1.8706821403658	1.32765424927196	0.272			1.32765424927196																										
1.87499450806742	1.32803095029965	0.273			1.32803095029965																										
1.87931681680327	1.32840799669512	0.274			1.32840799669512																										
1.8836490894898	1.32878538760428	0.275			1.32878538760428																										
1.88799134909629	1.32916312217643	0.276			1.32916312217643																										
1.89234361864498	1.32954119956425	0.277			1.32954119956425																										
1.89670592121115	1.32991961892379	0.278			1.32991961892379																										
1.9010782799233	1.33029837941447	0.279			1.33029837941447																										
1.90546071796325	1.33067748019909	0.28			1.33067748019909																										
1.90985325856624	1.33105692044378	0.281			1.33105692044378																										
1.91425592502109	1.33143669931804	0.282			1.33143669931804																										
1.91866874067029	1.33181681599473	0.283			1.33181681599473																										
1.92309172891016	1.33219726965005	0.284			1.33219726965005																										
1.92752491319094	1.33257805946351	0.285			1.33257805946351																										
1.93196831701692	1.33295918461799	0.286			1.33295918461799																										
1.93642196394661	1.33334064429967	0.287			1.33334064429967																										
1.94088587759278	1.33372243769809	0.288			1.33372243769809																										
1.94536008162266	1.33410456400605	0.289			1.33410456400605																										
1.94984459975805	1.33448702241973	0.29			1.33448702241973																										
1.95433945577539	1.33486981213855	0.291			1.33486981213855																										
1.95884467350599	1.33525293236529	0.292			1.33525293236529																										
1.96336027683605	1.33563638230599	0.293			1.33563638230599																										
1.96788628970684	1.33602016116999	0.294			1.33602016116999																										
1.97242273611485	1.33640426816992	0.295			1.33640426816992																										
1.97696964011186	1.3367887025217	0.296			1.3367887025217																										
1.9815270258051	1.33717346344451	0.297			1.33717346344451																										
1.98609491735737	1.3375585501608	0.298			1.3375585501608																										
1.99067333898719	1.3379439618963	0.299			1.3379439618963																										
1.99526231496888	1.33832969788	0.3			1.33832969788																										
1.99986186963274	1.33871575734413	0.301			1.33871575734413																										
2.00447202736516	1.33910213952417	0.302			1.33910213952417																										
2.00909281260873	1.33948884365887	0.303			1.33948884365887																										
2.01372424986239	1.3398758689902	0.304			1.3398758689902																										
2.01836636368156	1.34026321476335	0.305			1.34026321476335																										
2.02301917867827	1.34065088022679	0.306			1.34065088022679																										
2.02768271952128	1.34103886463215	0.307			1.34103886463215																										
2.03235701093622	1.34142716723433	0.308			1.34142716723433																										
2.03704207770572	1.34181578729142	0.309			1.34181578729142																										
