Acquisition Time (ms)	Shunt Voltage (V)	Sample Voltage (V)	Integrated Sample Voltage (V)					
milliseconds	Volts	Volts	Volts					
7491250	1.4411024	7.1301842E-5	-0.0097290839	-0.0207190839		0.0012609161	71	51.8796864
7491500	1.4606272	6.934693E-5	-0.009666737	-0.020663737		0.001330263	72	52.5825792
7491750	1.4811544	4.84302683E-5	-0.0096253067	-0.0206293067		0.0013786933	73	53.3215584
7492000	1.5016214	5.68238354E-5	-0.0095754829	-0.0205864829		0.0014355171	74	54.0583704
7492250	1.5219022	4.2726947E-5	-0.0095397559	-0.0205577559		0.0014782441	75	54.7884792
7492500	1.5421683	5.0093737E-5	-0.0094966622	-0.0205216622		0.0015283378	76	55.5180588
7492750	1.5627605	6.19666888E-5	-0.0094416955	-0.0204736955		0.0015903045	77	56.259378
7493000	1.5834552	6.0007293E-5	-0.0093886882	-0.0204276882		0.0016503118	78	57.0043872
7493250	1.6038109	5.62095626E-5	-0.0093394787	-0.0203854787		0.0017065213	79	57.7371924
7493500	1.6236533	8.11571094E-5	-0.0092653216	-0.0203183216		0.0017876784	80	58.4515188
7493750	1.6439033	6.75579165E-5	-0.0092047636	-0.0202647636		0.0018552364	81	59.1805188
7494000	1.6640834	9.88185735E-5	-0.0091129451	-0.0201799451		0.0019540549	82	59.9070024
7494250	1.6843856	9.22050524E-5	-0.00902774	-0.02010174		0.00204626	83	60.6378816
7494500	1.7050135	1.019975474E-4	-0.0089327425	-0.0200137425		0.0021482575	84	61.380486
7494750	1.7257715	1.284247294E-4	-0.0088113177	-0.0198993177		0.0022766823	85	62.127774
7495000	1.746161	1.127899171E-4	-0.0087055278	-0.0198005278		0.0023894722	86	62.861796
7495250	1.7661232	1.468573974E-4	-0.0085656704	-0.0196676704		0.0025363296	87	63.5804352
7495500	1.786257	1.609722208E-4	-0.0084116982	-0.0195206982		0.0026973018	88	64.305252
7495750	1.8065516	2.086164752E-4	-0.0082100817	-0.0193260817		0.0029059183	89	65.0358576
7496000	1.8267954	2.731958275E-4	-0.0079438859	-0.0190668859		0.0031791141	90	65.7646344
