Acquisition Time (ms)	Shunt Voltage (V)	Sample Voltage (V)	Integrated Sample Voltage (V)						
milliseconds	Volts	Volts	Volts						
5046250	1.6249132	6.1306356E-6	-1.203900369E-4	-7.961900369E-4				79	58.4968752
5046500	1.6454506	7.3188276E-6	-1.191712093E-4	-8.010712093E-4				80	59.2362216
5046750	1.6659876	6.9511606E-6	-1.183200487E-4	-8.063200487E-4				81	59.9755536
5047000	1.6867113	7.2784739E-6	-1.171415748E-4	-8.112415748E-4				82	60.7216068
5047250	1.7077731	6.6866198E-6	-1.16554955E-4	-8.16754955E-4				83	61.4798316
5047500	1.7286981	7.1260266E-6	-1.155289284E-4	-8.218289284E-4				84	62.2331316
5047750	1.7490244	7.5968196E-6	-1.140321088E-4	-8.264321088E-4				85	62.9648784
5048000	1.770071	7.5430147E-6	-1.12589094E-4	-8.31089094E-4				86	63.722556
5048250	1.7902552	7.7941043E-6	-1.108949897E-4	-8.354949897E-4				87	64.4491872
5048500	1.8106861	7.5654334E-6	-1.094295562E-4	-8.401295562E-4				88	65.1846996
5048750	1.8314815	8.5249545E-6	-1.070046018E-4	-8.438046018E-4				89	65.933334
5049000	1.8524382	8.4756333E-6	-1.046289685E-4	-8.475289685E-4				90	66.6877752
5049250	1.8734135	8.7356904E-6	-1.019932781E-4	-8.509932781E-4				91	67.442886
5049500	1.8942423	7.852393E-6	-1.002408851E-4	-8.553408851E-4				92	68.1927228
5049750	1.9147985	9.1885485E-6	-9.71523365999999E-5	-8.583523366E-4				93	68.932746
5050000	1.9350454	9.3723819E-6	-9.38799547E-5	-8.611799547E-4				94	69.6616344
5050251	1.9554198	9.5248292E-6	-9.04551255E-5	-8.638551255E-4				95	70.3951128
5050500	1.9761706	9.4261868E-6	-8.71289387000001E-5	-8.666289387E-4				96	71.1421416
5050750	1.9972262	1.08295984E-5	-8.23993402E-5	-8.679993402E-4				97	71.9001432
5051000	2.0181592	1.23630386E-5	-7.61363016E-5	-8.678363016E-4				98	72.6537312
5051250	2.0389029	1.15066437E-5	-7.07296580000001E-5	-8.68529658E-4				99	73.4005044
5051500	2.0588991	1.32866897E-5	-6.35429683E-5	-8.674429683E-4				100	74.1203676
5051750	2.0795185	1.69230053E-5	-5.2719963E-5	-8.62719963E-4				101	74.862666
5052000	2.0999895	2.18640903E-5	-3.69558726999999E-5	-8.530558727E-4				102	75.599622
5052250	2.1208107	2.37651974E-5	-1.92906753000001E-5	-8.414906753E-4				103	76.3491852
5052500	2.1418244	3.48131404E-5	9.42246509999997E-6	-8.188775349E-4				104	77.1056784
5052750	2.1627606	4.91431835E-5	5.24656485E-5	-7.819343515E-4				105	77.8593816
5053001	2.1832833	9.41823832E-5	1.405480317E-4	-6.999519683E-4				106	78.5981988
5053250	2.2034937	1.862560482E-4	3.207041E-4	-5.258959E-4				107	79.3257732
5053500	2.2241305	4.379599361E-4	7.52564E-4	-1.00136E-4				108	80.068698
5053750	2.2446706	7.079350772E-4	0.0014543991	5.955991E-4				109	80.8081416
5054000	2.2648365	0.0010603349	0.002508634	0.001643734				110	81.534114
5054250	2.2854728	0.0014225765	0.0039251104	0.0030541104				111	82.2770208
5054500	2.3066447	0.0016061902	0.0055252007	0.0046481007				112	83.0392092
5054750	2.3275055	0.0016825798	0.0072016804	0.0063184804				113	83.790198
5055000	2.3482056	0.001674518	0.0088700985	0.0079807985				114	84.5354016
5055250	2.3683835	0.001559371	0.0104233694	0.0095279694				115	85.261806
5055500	2.3891535	0.0010351676	0.0114524371	0.0105509371				116	86.009526
5055750	2.409465	3.25045833E-4	0.0117713829	0.0108637829				117	86.74074
5056000	2.4303869	1.838124082E-4	0.0119490953	0.0110353953				118	87.4939284
5056250	2.4514812	1.585868694E-4	0.0121015822	0.0111817822				119	88.2533232
5056500	2.4722103	1.463193482E-4	0.0122418015	0.0113159015				120	88.9995708
5057000	2.4768353	8.7850116E-6	0.0122444865	0.0113124865				121	89.1660708
5057250	2.4565865	4.3102359E-6	0.0122426968	0.0113045968				122	88.437114
5057500	2.4361231	-3.9219164E-6	0.0122326749	0.0112884749				123	87.7004316
5057750	2.4151187	-2.67172228E-5	0.0121998576	0.0112495576				124	86.9442732
5058000	2.3942538	-6.73846807E-5	0.0121263729	0.0111699729				125	86.1931368
5058250	2.3733355	-6.64744829E-5	0.0120537985	0.0110912985				126	85.440078
